about_me_id,about_me
10,"From
Pakistan
Member since
Aug 2025
Avg. response time
1 hour
Last delivery
2 days
Languages
Urdu, English
I’m a Machine Learning & AI Engineer who helps businesses and individuals build smart solutions, backend pipelines, and automation systems. With experience on 7+ platforms and in team collaborations as well as independent projects, I’ve delivered high-quality results in ML, Python development, APIs, and AI applications. My goal is to provide reliable, scalable, and on-time solutions so you can focus on growth while I handle the technical side. Let’s turn your ideas into reality!"
11,"PLEASE MESSAGE ME BEFORE ORDERING TO DISCUSS YOUR PROJECT SCOPE

Hi,
Do you need a custom Python script, web scraper, or automation bot built for your business? You're in the right place.

I'm Saif, a Python developer with 7+ years of experience building scrapers, bots, and automation scripts for businesses across e-commerce, real estate, legal, and research industries. 220+ projects delivered. 4.9 stars.

What I Can Build For You:
Web scrapers & crawlers for any website, static or dynamic
Custom Python scripts for any task
Automation bots: form filling, login automation, click bots, alert bots
Telegram & Discord bots
Scheduled scrapers with automatic data delivery
Login & session handling
Anti-bot & CAPTCHA handling
Data output in CSV, Excel, Google Sheets, or database
API & webhook integrations
Browser automation with Selenium & Playwright
Data cleaning & formatting

Need something not listed? Inbox me!!

Recommended: Send me a step-by-step description or screenshots of what you need so I can give you an accurate quote and timeline.
Programming language
Python
Expertise
Debugging
Performance
Security
Databases
Testing procedures
Frontend framework
Bootstrap
jQuery
React.js
Tkinter
Backend framework
Django
Express.js
FastAPI
Flask
Node.js"
12,"From
India
Member since
Jun 2023
Avg. response time
1 hour
Last delivery
2 months
Languages
English, Hindi
Greetings!  Having worked as the CTO at a million dollar startup, I have an overall 6 years of experience working with website and mobile application development, working closely with the product, analytics and marketing teams.  With a portfolio spanning CMS, CRMs, edtech platforms, flight booking portals, warehouse management, and data analytics systems, I've integrated top-tier tools like Freshchat, Paypal, and Stripe. Skilled in system design and backend development, I excel at crafting tailored solutions to meet business needs effectively.  Let's bring your project to life!"
13,"From
Sri Lanka
Member since
Jun 2022
Avg. response time
3 hours
Last delivery
2 months
Languages
English
I have more than 5 years of programming experience in web development. In 2018, I was selected for the final of the Dialog App Challenge, the biggest inter-school hackathon in Sri Lanka. I have gained knowledge of web development by following courses and doing projects and now I am working as a full-stack developer. I love working on Nodejs, React, MongoDB, ExpressJs, SQL, Python, Google Apps Script, etc. Let's talk and discuss how I can give you the solution to make your project a reality."
14,"Professional Python Developer
Hi, I’m Ishaq. I believe in myself and am fully committed to my work. I help individuals and companies bring their ideas to life across various major online marketplaces. I am also a developer and publisher at ⊞ Microsoft App Store. Clients appreciate my clear communication, high-quality work, affordability, and speed—just as my previous clients can attest. This isn’t self-praise; it’s a reflection of my clients’ reviews.
Read Less
Windows desktop
Python
Data processing
Data manipulation
Photo manipulation
File management
CSS
Software installation
+1
Top Rated
Top Rated sellers are individually selected by Fiverr after meeting specific benchmarks for quality and service.
Highly Responsive
Known for exceptionally quick replies"
15,"Master Data Analytics with Hands on Training and Real World Projects
I’m Engr. Faiqua Imran, a Data Analytics Instructor and Consultant skilled in SQL, Tableau, Power BI, Excel, Google Sheets, Python, and R. I help beginners and non-technical learners build strong foundations through a structured 7–8 month Data Analytics program with hands-on practice, clear notes, presentations (reports) and real-world portfolio projects for LinkedIn and resumes. I also provide structured learning notes for Google Data Analytics. If you have a real data project, I can analyse it and deliver actionable insights. 📌Connect on LinkedIn: https://www.linkedin.com/in/faiqua-imran"
16,"Python Developer, Data Extraction Specialist
👋 Hello there! My name is Kawsar, and I'm your go-to Python developer. I specialize in data extraction, web scraping, web automation, custom scripts, API development, and other related services.  I offer customized automation solutions to match your specific Requirements.   When you choose me, you're not just getting a service; you're getting a partner invested in your goals.  Get in touch today, and let's turn your data challenges into opportunities.
Read Less
Vetted by Fiverr Pro
Kawsar was selected by the Fiverr Pro team for their expertise."
17,"Professional programmer
I'm a Web Designer and Professional python programmer who specialized in website designing, UI UX designing, data scraping, data mining, web automation and data extraction with more than 4year experience.. I can design a simple and complex Website and write a Program to automate task and scrape any website be it JavaScript render site.
Read Less
Python
Data entry
Web design
Convert files
WebCrawler
Python automation
WordPress
Web scraping"
18,"From
Uzbekistan
Member since
Nov 2023
Avg. response time
1 hour
Last delivery
5 days
Languages
English, Uzbek, Russian, Italian
Multilingual expert: native Uzbek and Russian speaker, English (IELTS 8.0/C1), Italian (C1). Law student with think-tank and human rights organisation experience. I offer Uzbek↔English, Uzbek↔Russian, and Italian↔English translations with cultural and contextual accuracy and natural tone."
19,"Hi there! I’m Ben, a skilled Python developer with years of experience delivering high-quality solutions. From automation and data analysis to web scraping and custom scripts, I provide efficient, tailored results to meet your needs.  Let’s bring your ideas to life with Python! Message me with your requirements, and I’ll be happy to help."
20,"Data Analyst, Power BI, SQL, Python, Predictive, Real Time Dashboard
Certified Data Analyst skilled in Power BI, Google Looker Studio, Python, and SQL. I design real-time dashboards, automate reports from Facebook Ads, Google Ads, TikTok, and Shopify, and build predictive models using BigQuery, Kafka, and Cassandra. Let’s turn your data into smart, real-time insights
Read Less
Dashboard design
SQL
Data analysis
Power BI
Data extraction
Problem solving
SQL Database
SQL queries
Python
Microsoft Excel
Google API
Machine learning
Data mining
Big data
R
Data reporting
"
21,"Cloud DevOps Engineer AWS, Docker, Kubernetes CICD Python Automation
DevOps & Cloud Automation Engineer with 7+ years of experience building scalable, secure cloud systems. I specialize in AWS (Lambda, EC2, S3, RDS, API Gateway, Cognito), CI/CD automation, Infrastructure as Code (Terraform, CloudFormation), and containerized deployments using Docker & Kubernetes (EKS). I also develop Python backend solutions with Flask, FastAPI, and Django for APIs and automation. I help businesses deploy reliable cloud infrastructure, automate workflows, and build cost-efficient serverless architectures that scale.
Read Less
ai development
Django rest framework
Python Django
Django
Python Flask
Spring Data
Spring Boot
Oracle Cloud
IBM Cloud
Grafana
Kubernetes
DevOps
Selenium automation
Excel automation
Data processing
Python automation
Data scraping
Web scraping
Python
Bash scripting
Web automation
XML
JSON
CSV
Excel
HTML
Data engineering
AWS EC2
AWS Lambda
Docker
Java
AWS
GitHub
Task automation
Process automation
Software automation
SMS automation
Data extraction
Web crawling
Email scraping
Scripting"
22,"I specialize in Document, Excel, and PowerPoint Automation. With experience in the banking industry, I excel in meeting deadlines and maintaining rigor. I work with Python and Excel extensively, completing numerous automation projects for financial products. I also offer assistance in automating personal finance and lifestyle through templates and tools I have developed. Let's discuss further to provide a clear overview of the possibilities.
Read Less
Python
Python automation
Excel
Excel automation
Excel dashboard
Excel macros
Microsoft Office
VBA
Project management
Financial planning
Canva"
23,"Python Automation Developer OCR and PDF Data Extraction Expert
I help businesses automate repetitive tasks and transform unstructured data into valuable insights using Python. My expertise includes OCR-based data extraction, PDF to Excel automation, web scraping, workflow automation, and desktop application development. I work with Python, Pandas, OpenCV, Tesseract OCR, PyMuPDF, and Regex to build reliable and scalable solutions. Whether you need custom automation scripts, data extraction, Excel automation, or desktop applications, I deliver accurate results that save time, reduce manual work, and improve productivity.
Read Less
Python automation
Python
PDF to Excel
Data extraction
Excel automation
OpenCV
Web scraping
PDF conversion
Python Flask
Desktop applications development
Application improvements
Data processing automations
Data mining
Selenium automation"
24,"Full Stack Engineer, 5+ years experience. Lead Engineer on two Antler-funded startups. 160+ Fiverr projects and numerous 5-star reviews. I build across the full stack, React, Next.js, Node.js, NestJS, PostgreSQL, MySQL, Firebase, AWS, delivering fast, secure, and maintainable solutions. Web apps, REST APIs, database design, or mobile apps, I deliver production-quality work on time with clear communication throughout. Let's build something great.
Read Less
MySQL
PostgreSQL
Oracle
React
Node-RED
JavaScript
Rest API
TypeScript
Full stack web development
AWS"
25,"Nitin Rungta is part of the Fiverr Pro catalog and has been hand-picked by a dedicated Fiverr Pro team for their skills and expertise.

Vetted for

Data Analytics
Data Processing
Data Visualization
From
India
Member since
Mar 2019
Avg. response time
1 hour
Last delivery
1 day
Languages
English
Money Back Guarantee. 24x7 available for you 7+ years of experience in Financial Planning of organizations, such as Deloitte and Honeywell.  I offer Money-back guarantee.  My Motive is to make my customer happy without adding additional charges.  Are you looking for a Responsible, Fast, Organized, and completely Reliable and efficient Freelancer? I am the Right person for you.  A trusted Freelancer."
26,"Full Stack Web Developer React Nextjs WordPress API Automation
Full-stack developer helping businesses build scalable websites, web apps, and automation systems. Expert in ASP.NET, React, Next.js, WordPress, API integrations, and GoHighLevel CRM. I create business websites, landing pages, dashboards, and marketing funnels, plus automation workflows, email templates, and integrations that save time and improve operations. Also experienced in SQL databases, server/software configuration, deployments, live website management, bug fixing, and performance optimization. Clean code, reliable delivery, and clear communication. Message me anytime!
Read Less
SAP Fiori
SAP ABAP
Problem solving
Flutter development
Mobile development
SQL Database
Dart
App development
Google Firebase"
27,"Data Analyst, Dashboard Expert Excel, Power BI, SQL Trainer, Ecommerce Expert
I’m a Computer Science graduate and Data Analyst with 4+ years of experience turning data into actionable insights. I specialize in Excel, Power BI, SQL Server, Python, and Power Automate to streamline workflows and apply AI automation for your business. Services which I offer: • Building interactive dashboards and detailed reports • Cleaning and transforming raw data • Performing in-depth data analysis • Creating Power Automate flows • Implementing AI automation solutions Whether you're a small business owner or part of a large organization, I’m here to make your data work for you.
Read Less
Excel automation
Education
Data visualization
Data analysis
Data management
Data reporting
Excel work
Power BI
SQL
SQL queries
Personal assistance
Personal training
Business automation
Microsoft Flow
Power automate
Python"
28,"SQL Server data automation expert!
I'm a career Microsoft SQL Server developer with over 25 years of full time database engineering experience (going back to SQL 6.5). I spent the last 21 years at the Microsoft mothership in Redmond, WA. I've designed and developed database solutions for Microsoft Consulting Services (mostly for US Gov customers) from enterprise level database apps (+500k lines of TSQL code) to small databases with only a few tables and procs. I was also the Lead DBA for MSN and a Principal PM in the Microsoft SQL Server Product Group, owning features like SQL Audit and EKM.
Read Less
Vetted by Fiverr Pro
Adrian was selected by the Fiverr Pro team for their expertise.
Vetted for

Databases"
29,"It would be an honor for me to work with you !
I'm a Software Professional .I've worked on many Programming languages using several platforms.  I can guaranty that with my skills I'll deliver high quality services within time-frame.   My primary goal is to provide my best services to my clients.
Read Less
PHP
HTML5
ASP.NET
MySQL
Oracle
WCF
MVC
ASP.NET MVC
CSS3
JavaScript
WordPress
Bootstrap
Web development
Website design
Adobe Photoshop
jQuery
Logo design
Web design
Databases
Database design
SQL Database
Oracle PL/SQL
SQL queries
Security consulting
Application security
Graphic design
Video editing
Photography"
30,"Always Deliver MORE than Expected
𝗛𝗶, 𝗜'𝗺 𝗙𝗮𝗶𝘇𝗮𝗻 𝗘𝘅𝗽𝗲𝗿𝘁 𝗗𝗮𝘁𝗮𝗯𝗮𝘀𝗲 𝗗𝗲𝘃𝗲𝗹𝗼𝗽𝗲𝗿 & 𝗦𝗼𝗳𝘁𝘄𝗮𝗿𝗲 𝗘𝗻𝗴𝗶𝗻𝗲𝗲𝗿 Specializing in efficient, scalable database solutions, I help businesses streamline and grow. From custom database design to full-stack development, I turn your vision into reality. Hire me, and I promise you won’t be disappointed!
Read Less
Database programming
SQL Database
ERD
Database management
Database queries
MySQL database
Database design
Oracle PL/SQL
Databases
SQL Server integration
Website development
Custom website development
Website design"
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
