Gig Title,About the Gig,About Me,Reviews,Stars,Caption,Description,Package,Cost,Delivery Timeline (days),Revisions,Included
25,25,25,226,5,Small Project,"Data Visualisation of a Business Area Eg - Sales Data, Stock Market, Amazon Seller Data, Any Data",Standard,500,4,3,"Data source connectivity
Web embedding
Interactive/animated visuals"
25,25,25,226,5,Ultimate Dashboards,"Multiple tables, complete cover of a business area + Free multiple consultations",Premium,1500,4,5,"Data source connectivity
Web embedding
Interactive/animated visuals"
26,26,26,8,4.8,"Install, configure or connect SQL","Install, Configure Software, Troubleshooting or connect SQL database","Install, configure or connect SQL",20,3,1,1 Hour of Work
27,27,27,2,5,Basic,"One focused problem solved a query fixed, a concept explained, or an error debugged",Basic,20,2,n/a,"Debug queries
Optimize queries
Analyze queries
1 query included"
27,27,27,2,5,Most Popular,1-hour live session learn by doing with real screen-share walkthroughs,Standard,35,2,1,"Debug queries
Optimize queries
Analyze queries
1 query included"
27,27,27,2,5,Premium,Complete SQL Server project delivered with a training session so you can maintain it,Premium,80,4,1,"Debug queries
Optimize queries
Analyze queries
1 query included"
28,28,28,0,0,Custom Solution,Custom ETL solution to dynamically load unlimited flat files into a SQL Database. (Custom pricing),Basic,250,1,n/a,"10 query included
Debug queries
Optimize queries
Schedule queries"
28,28,28,0,0,Basic + Custom Business Rules,Basic package plus custom coding and logic for business rules for your data. (Custom pricing),Standard,450,1,n/a,"10 query included
Debug queries
Optimize queries
Schedule queries"
28,28,28,0,0,Standard + Custom Export,Standard package plus additional functionality to export CSV data. (Custom pricing),Premium,750,1,n/a,"10 query included
Debug queries
Optimize queries
Schedule queries"
29,29,29,44,4.9,$50,"BASIC DB ERD, Basic DB design Schema Diagram Permissions Setup 5 Tables Added
 View 
 5 Quries",Basic,50,2,n/a,"Technology selection
5 tables added
Permissions setup
Import/export data
Setup admin panel
Schema diagram (ERD)"
29,29,29,44,4.9,$80,"STANDARD DB ERD, Basic DB design Schema Diagram Permissions Setup 15 Tables Added View  10 SQL Queries",Standard,80,5,1,"Technology selection
15 tables added
Permissions setup
Import/export data
Setup admin panel
Schema diagram (ERD)"
29,29,29,44,4.9,$150,"PREMIUM DB ERD, DB Design  Unlimited Tables Unlimited View Unlimited Function & SP Triggers 20 SQL Quries",Premium,150,7,2,"Technology selection
30 tables added
Permissions setup
Import/export data
Setup admin panel
Schema diagram (ERD)"
30,30,30,106,4.9,Basic - Database Task,"- Simple SQL queries - Database creation (small scale) - ERD (basic) - Relational model",Basic,5,1,unlimited,"Functional database
Technology selection
Schema diagram (ERD)
6 tables added
Import/export data
Permissions setup"
30,30,30,106,4.9,Standard – Advanced Database Work,"- Complex SQL queries - Database creation (medium projects) - Normalization (up to 3NF)",Standard,20,2,unlimited,"Functional database
Technology selection
Schema diagram (ERD)
10 tables added
Import/export data
Permissions setup"
30,30,30,106,4.9,Premium – Complete Database Solutio,"Full database design & implementation Stored procedures, triggers, functions",Premium,50,3,unlimited,"Functional database
Technology selection
Schema diagram (ERD)
15 tables added
Import/export data
Permissions setup"
